,adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
32191,False,"{'id': 143302, 'name': 'Mobile Suit Gundam Collection', 'poster_path': '/oMg3wJ31pryra9yRWP5sYrT625t.jpg', 'backdrop_path': '/5CKsZuO6n9VKsWY81AtxmzFSZfk.jpg'}",0,"[{'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 10752, 'name': 'War'}]",,39229,tt0159510,ja,機動戦士ガンダムII：哀戦士編,"After managing to survive attacks by Zeon's Char Aznable and Garma Zabi, the crew of Federation warship White Base and its mobile suits battle Zeon forces (Ramba Ral, Ma Kube, Tri-Stars, Boone) through Asia, Europe, and the Atlantic Ocean if they are to reach Earth Federation's headquarters alive. During that process many of its crewmembers like Amuro Ray, Bright Noah, Kai Shinden, Sayla Mass, Mirai Yashima, Fraw Bow, and Hayato Kobayashi must overcome their fears, losses, immaturities, and insecurities in order to survive.",0.886893,/75zozR211ryCb215DzAFkGn8XR4.jpg,"[{'name': 'Sunrise', 'id': 3153}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",1981-07-11,0.0,139.0,"[{'iso_639_1': 'ja', 'name': '日本語'}]",Released,,Mobile Suit Gundam II: Soldiers of Sorrow,False,6.8,9.0
9233,False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",,33253,tt0235154,th,เรื่องตลก 69,"A woman, fired from a financial coorporation during the Asia crisis, returns home with no money. However, she finds a box with a fortune in front of her door, and decides to keep it. However, the people that left it there soon want it back.",0.948699,/bkxhceiETR2HHlub62bK0WkQO44.jpg,"[{'name': 'The Film Factory', 'id': 3707}, {'name': 'Five Stars Production Company', 'id': 7173}]","[{'iso_3166_1': 'TH', 'name': 'Thailand'}]",1999-11-19,0.0,118.0,"[{'iso_639_1': 'th', 'name': 'ภาษาไทย'}]",Released,How far would you go to protect a secret?,6ixtynin9,False,7.0,18.0
34331,False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10769, 'name': 'Foreign'}]",,96147,tt0106204,en,Aankhen,A 1993 Bollywood Comedy starring Govinda and Chunky Pandey. This movie kick started a long line  of Comedy movies for Govinda.,0.594048,/qgE7Lk9MdWxZf1Phj8ofnEgf6On.jpg,"[{'name': 'Chiragdeep International', 'id': 16020}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",1993-09-09,0.0,170.0,"[{'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,,Aankhen,False,4.8,3.0
38141,False,,0,"[{'id': 18, 'name': 'Drama'}]",,106729,tt0079613,en,Natural Enemies,A man hires hires five hookers to fulfill a final fantasy before killing himself and his family.,0.151357,/2ypLT5nBQ0eGMgkjbE7Aa0u0zDX.jpg,"[{'name': 'Utopia', 'id': 18066}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1979-11-01,0.0,100.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Natural Enemies,False,0.0,0.0
32027,False,,0,[],,156896,tt1649328,en,Fit,A surreal account of Lizzie as she struggles to make life fit.,0.100913,/nylQSiQGr5OjNOczEameaL31W70.jpg,[],[],1994-12-26,0.0,8.0,[],Released,,Fit,False,5.5,2.0
30816,False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 14, 'name': 'Fantasy'}]",http://movies.disney.com/smart-house,35215,tt0192618,en,Smart House,"Ben Cooper and his family struggling to get a grip on household chores, school and work. Ben is the family caretaker. So when Ben sees that a Smart House is being given away, he enters the competition as often as he can. The family wins the house (named Pat). After moving in Pat's personality begins to radically change, the family starts to resent her.",1.788834,/eoPLLbKRe0kGqpvu2JubR7hrkCs.jpg,"[{'name': 'Alan Sacks Productions', 'id': 39016}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1999-06-26,0.0,82.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Where the computer at home has an opinions of her own.,Smart House,False,5.2,27.0
39510,False,,0,"[{'id': 35, 'name': 'Comedy'}]",,63989,tt0296686,fr,Irène,,0.459399,/mEoW3b19NTyS96e8GJcdqg78SJc.jpg,[],"[{'iso_3166_1': 'FR', 'name': 'France'}]",2002-06-26,0.0,0.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Irène,False,6.9,6.0
4410,False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",,70842,tt0096029,en,Salome's Last Dance,"Oscar Wilde watches an outrageous staging of his banned play ""Salome"" at a London brothel, with parts played by prostitutes, Wilde's host, his lover Bosey, and Lady Alice.",0.654549,/pTa4OElppiowGDDIoLJePGIDZ4k.jpg,"[{'name': 'Vestron Pictures', 'id': 12360}, {'name': 'Jolly Russell Productions', 'id': 14310}, {'name': 'Vestron UK', 'id': 14311}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1988-05-06,331000.0,89.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"NOTORIOUS, SCANDALOUS, WILDE!",Salome's Last Dance,False,5.7,10.0
38180,False,,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",,320639,tt3532686,en,All About E,"A beautiful sexy DJ is forced to run when she stumbles on a stash of cash. Can she keep the money, conquer her demons, AND get the girl?",1.373247,/cvWqoTuRdRGfE4kQBdUGlWjRIqL.jpg,[],[],2015-02-21,0.0,93.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,All About E,False,4.9,10.0
13060,False,,15000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",http://www.foxsearchlight.com/slumdogmillionaire,12405,tt1010048,en,Slumdog Millionaire,"Jamal Malik is an impoverished Indian teen who becomes a contestant on the Hindi version of ‘Who Wants to Be a Millionaire?’ but, after he wins, he is suspected of cheating.",11.258181,/9zknVczWOLhTKnT9nbX2IOCHtZn.jpg,"[{'name': 'Fox Searchlight Pictures', 'id': 43}, {'name': 'Celador Films', 'id': 3573}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Film4', 'id': 9349}]","[{'iso_3166_1': 'IN', 'name': 'India'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2008-05-12,377910544.0,120.0,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'hi', 'name': 'हिन्दी'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,"What does it take to find a lost love? A. Money, B. Luck, C. Smarts, D. Destiny",Slumdog Millionaire,False,7.6,2918.0
11184,False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",,10348,tt0114126,cn,霹靂火,"In order to release his kidnapped sister, sports car mechanic Jackie Chan has to beat a super-criminal street racer.",4.542915,/AoT4Ld6kLlCsJzVfYAY1gZjkaoA.jpg,"[{'name': 'Golden Harvest Company', 'id': 2521}, {'name': 'Paragon Films Ltd', 'id': 2734}]","[{'iso_3166_1': 'HK', 'name': 'Hong Kong'}]",1995-09-08,0.0,108.0,"[{'iso_639_1': 'ja', 'name': '日本語'}, {'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,The stakes don't come much higher,Thunderbolt,False,6.3,74.0
4035,False,,57000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 10749, 'name': 'Romance'}]",,6073,tt0236493,en,The Mexican,"Jerry Welbach, a reluctant bagman, has been given two ultimatums: The first is from his mob boss to travel to Mexico and retrieve a priceless antique pistol, known as ""the Mexican""... or suffer the consequences. The second is from his girlfriend Samantha to end his association with the mob. Jerry figures alive and in trouble with Samantha is better than the more permanent alternative, so he heads south of the border.",9.958406,/a7PuqWv0ENFg8dt9k51AID6P1kh.jpg,"[{'name': 'DreamWorks SKG', 'id': 27}, {'name': 'Newmarket Capital Group', 'id': 506}, {'name': 'Lawrence Bender Productions', 'id': 2253}, {'name': 'Pistolero Productions LLC', 'id': 55852}]","[{'iso_3166_1': 'MX', 'name': 'Mexico'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-03-01,147845033.0,123.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,Love with the safety off.,The Mexican,False,5.8,453.0
36346,False,,0,"[{'id': 10769, 'name': 'Foreign'}, {'id': 53, 'name': 'Thriller'}]",,33842,tt1176928,en,25 kilates,"Abel is a boxer turned debt collector who is struggling to provide for his young son. When he falls in love with beautiful car thief Kay, the couple plan for a new crime-free beginning. To fund their new law-abiding life, however, they conspire for one last big score. The resulting fiasco takes them on a rough ride through the gritty Barcelona underworld. Winner of Best Film at the 2009 Málaga Spanish Film Festival.",0.580317,/usE7uI33XTDpH3b5gl36vsOmZ2b.jpg,[],"[{'iso_3166_1': 'ES', 'name': 'Spain'}]",2008-10-29,0.0,86.0,"[{'iso_639_1': 'es', 'name': 'Español'}]",Released,,25 Carat,False,7.0,1.0
32647,False,,0,"[{'id': 18, 'name': 'Drama'}]",,107406,tt0131515,it,Oscenità,"Banned for few years in Italy due to its transgressive sexual content and released in theaters in 1979 this piece of sleaze offers several sexually explicit scenes including masturbation with a candle,whipping,rape and sexual intercourse with a donkey.",0.335692,/997fcBSGV9FCCQnELuobjHMDNDr.jpg,"[{'name': 'G.R.P. Cinematografica', 'id': 12727}, {'name': 'Cinestampa Internazionale', 'id': 70305}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}]",1980-02-14,0.0,84.0,"[{'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,Oscenità,False,9.0,1.0
7630,False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,35987,tt0048308,fr,Lola Montès,The film tells the tragical story of the life of Lola Montes who was a great adventurer and stopped being the attraction of her circus after having been the lover of various important men.,1.971887,/1laVDkH28pmS2iVCiXXY4pz0kuw.jpg,"[{'name': 'Gamma Film', 'id': 14232}, {'name': 'Florida Films', 'id': 44300}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'DE', 'name': 'Germany'}]",1955-12-23,0.0,116.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'hu', 'name': 'Magyar'}]",Released,She lived too intensely and far too well!,Lola Montès,False,7.3,22.0
21340,False,,15000000,"[{'id': 18, 'name': 'Drama'}]",,77728,tt0109900,en,Giorgino,"October 1918: After returning to the civil life, the young Doctor Giorgino Volli searches for a group of children, which he had been the care-taker of before the first world war began. However, soon the searching becomes a part of hide-and-seek with death. Giorgio finds a village bordered with a treacherous marsh and rumours of wolves. There he also meets the mysterious Catherine....",2.659592,/oND4kLa3UcvVuhUq2c7524CopBK.jpg,[],[],1994-10-05,0.0,177.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Giorgino,False,6.8,8.0
42232,False,,0,"[{'id': 99, 'name': 'Documentary'}]",http://www.sho.com/titles/3429923/spring-broke,388235,tt5437148,en,Spring Broke,"Documentary charting the raucous history of the infamous spring vacation revelries in Daytona, which started in the early 60s, and by the 1980s led to the arrival of tens of thousands of college students, lured by lust, booze, fun in the sun and eventually, the hope to make it onto MTV.",0.108897,/lPmoZUVNGGeF97XT0FFk3e5izFD.jpg,[],[],2016-03-22,0.0,78.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Spring Broke,False,6.0,2.0
44024,False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}]",,62688,tt0814229,en,Nevalyashka,Nevalyashka is a young and very successful boxer who is dreaming about the winning against the famous champion...,0.526709,/fKF4flYz1SQGxNldKKnLlODPOmd.jpg,"[{'name': 'Slovo', 'id': 17962}]","[{'iso_3166_1': 'RU', 'name': 'Russia'}]",2007-04-26,0.0,90.0,"[{'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,Nevalyashka,False,7.4,7.0
4359,False,,20000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,7520,tt0094889,en,Cocktail,A talented New York bartender takes a job at a bar in Jamaica and falls in love.,9.270831,/60mYYP531cZ1l7zbQcLm1lwbHEF.jpg,"[{'name': 'Touchstone Pictures', 'id': 9195}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1988-07-29,171504781.0,104.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'pt', 'name': 'Português'}]",Released,"When he pours, he reigns.",Cocktail,False,5.7,330.0
23476,False,,0,"[{'id': 37, 'name': 'Western'}, {'id': 35, 'name': 'Comedy'}]",,75130,tt0066900,en,Catlow,Catlow is a 1971 western based on a story by Louis L'Amour. It stars Yul Brynner as a outlaw determined to pull off a gold robbery and co-stars Richard Crenna and Leonard Nimoy.,5.275286,/vSgftTrGA51O3aplsTtq9WBYYkM.jpg,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1971-10-01,0.0,101.0,"[{'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,"The Mexican cavalry wanted him murdered. The Apache nation wanted him massacred. Texas ranchers wanted him mangled and his only hope was a Marshal, who wanted him hanged.",Catlow,False,4.4,6.0
5301,False,,5860000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]",,27945,tt0061770,en,Hombre,"John Russell, disdained by his ""respectable"" fellow stagecoach passengers because he was raised by Indians, becomes their only hope for survival when they are set upon by outlaws.",8.019495,/p8scdJqfnEKgEgWQwGJq7hJiE3D.jpg,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Hombre Productions', 'id': 22064}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1967-03-21,12000000.0,111.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Hombre means man... Paul Newman is Hombre!,Hombre,False,7.2,55.0
31245,False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}, {'id': 10749, 'name': 'Romance'}]",,37613,tt0118686,en,Basil,"A lonely young aristocrat in turn-of the century England struggles to meet the approval of his over-bearing, class-conscious father while trying to please the selfish woman he loves.",0.901256,/mTzsUDxjeRr51Cf8XyCpEcS1w3g.jpg,[],"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1998-07-22,0.0,113.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Basil,False,5.4,7.0
9917,False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",,42617,tt0064866,it,Queimada,The professional mercenary Sir William Walker instigates a slave revolt on the Caribbean island of Queimada in order to help improve the British sugar trade. Years later he is sent again to deal with the same rebels that he built up because they have seized too much power that now threatens British sugar interests.,7.354711,/8iUH2CjjDCeIULuRwuvjWcupVPr.jpg,"[{'name': 'Les Productions Artistes Associés', 'id': 64}, {'name': 'Produzioni Europee Associati (PEA)', 'id': 7508}, {'name': 'Europee Associate SAS', 'id': 12610}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}, {'iso_3166_1': 'FR', 'name': 'France'}]",1969-12-21,0.0,112.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'pt', 'name': 'Português'}]",Released,,Burn!,False,6.5,21.0
1755,False,"{'id': 97771, 'name': 'Major League Collection', 'poster_path': '/u4XZNh1jdUsetzQ9XjUQGMgIsdM.jpg', 'backdrop_path': '/vNqeD5ECuhb7FdQiOPCjeI23YK2.jpg'}",0,"[{'id': 35, 'name': 'Comedy'}]",,9771,tt0120742,en,Major League: Back to the Minors,At the behest of Roger Dorn -- the Minnesota Twins' silver-tongued new owner -- washed-up minor league hurler Gus Cantrell steps up to the plate to take over as skipper of the club's hapless farm team. But little does he know that Dorn has an ulterior motive to generate publicity with a grudge match between the big leaguers and their ragtag Triple A affiliate.,8.207548,/8gkKkEFVqDpPRDqZR7p3k51jVtB.jpg,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Morgan Creek Productions', 'id': 10210}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1998-04-17,3572443.0,107.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Released,They're Just Nine Players Short of a Dream Team,Major League: Back to the Minors,False,4.3,20.0
15986,False,,0,"[{'id': 18, 'name': 'Drama'}]",,74896,tt0062990,en,The Fox,Two women who live a quiet life on a farm in rural Canada are surprised by the visit of the former tenant’s grandson.,0.429236,/8P5xm41AIox1tnWXVE140jNqwuR.jpg,"[{'name': 'Motion Pictures International', 'id': 16316}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",1967-12-13,0.0,110.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Between Ellen and Jill came Paul...,The Fox,False,7.8,5.0
5692,False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",,18993,tt0055207,en,Mysterious Island,"During the US Civil War, Union POWs escape in a balloon and end up stranded on a South Pacific island, inhabited by giant plants and animals. They must use their ingenuity to survive the dangers, and to devise a way to return home. Sequel to '20,000 Leagues Under the Sea' .",3.419312,/gTHr5r7Ei5EZJj2I64R1hQQNEHk.jpg,"[{'name': 'Ameran Films', 'id': 8488}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1961-12-18,0.0,101.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,A world beyond imagination! Adventure beyond belief!,Mysterious Island,False,6.2,38.0
26361,False,"{'id': 299748, 'name': 'Walking Tall Collection', 'poster_path': '/wdk59P3cjnx8w78o1K5pos0yUgN.jpg', 'backdrop_path': '/zzVAOPbmA8bGmRVV8NsV8swBrbG.jpg'}",0,"[{'id': 80, 'name': 'Crime'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",,15066,tt0804550,en,Walking Tall: The Payback,A man goes back to his hometown that is now overrun with crime and single-handedly takes justice into his own hands.,1.025466,/fWNWCROTnQv6YcJJiV3znj71UNv.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2007-02-20,0.0,88.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,He's raising the stakes to new heights.,Walking Tall: The Payback,False,5.6,8.0
34129,False,,0,"[{'id': 53, 'name': 'Thriller'}]",http://www.rubberneckfilm.com/,111170,tt2292903,en,Rubberneck,"Paul Harris works at a small research facility on the outskirts of Boston. After a weekend tryst with a co-worker leaves him wanting more, his unreciprocated desires gradually mold into an acute infatuation. When Danielle takes interest in a new scientist at the laboratory, Paul's suppressed resentments and perverse delusions finally become unhinged, triggering a horrific course of events that mercilessly engulf a tortured past and fugitive present.",0.731581,/9C4Drbnxc7y4KljaanQU4ghWsmJ.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2013-02-22,0.0,83.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Rubberneck,False,5.5,6.0
